key,forms,path
subanta:guru:pum:4:1,gurave,1.2.45 4.1.2 1.3.8 1.3.9 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 7.3.111 6.1.78 8.4.68
subanta:guru:pum:4:2,guruByAm,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14
subanta:guru:pum:4:3,guruByaH,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14 8.2.66 1.3.2 8.3.15 8.4.68
subanta:guru:pum:5:1,guroH,1.2.45 4.1.2 1.3.2 1.3.8 1.3.9 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 7.3.111 6.1.110 8.2.66 1.3.2 8.3.15
subanta:guru:pum:5:2,guruByAm,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14
subanta:guru:pum:5:3,guruByaH,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14 8.2.66 1.3.2 8.3.15 8.4.68
subanta:guru:pum:6:1,guroH,1.2.45 4.1.2 1.3.4 1.3.8 1.3.9 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 7.3.111 6.1.110 8.2.66 1.3.2 8.3.15
subanta:guru:pum:6:2,gurvoH,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 6.1.77 8.2.66 1.3.2 8.3.15
subanta:guru:pum:6:3,gurURAm,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 7.1.54 1.3.2 1.3.3 1.3.9 1.4.13 1.4.17 1.4.14 6.4.3 8.4.2
subanta:guru:pum:7:1,gurO,1.2.45 4.1.2 1.3.8 1.3.9 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 7.3.119 6.1.88
subanta:guru:pum:7:2,gurvoH,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 6.1.77 8.2.66 1.3.2 8.3.15
subanta:guru:pum:7:3,guruzu,1.2.45 4.1.2 1.3.3 1.3.9 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14 8.3.59
subanta:guru:pum:8:1,guro,1.2.45 4.1.2 1.3.2 1.3.9 1.4.7 2.3.48 2.3.49 1.1.43 1.4.7 2.3.48 2.3.49 1.1.43 1.4.13 1.4.14 7.3.108 6.1.69
subanta:guru:pum:8:2,gurU,1.2.45 4.1.2 1.4.7 2.3.48 1.1.43 1.4.7 2.3.48 1.1.43 1.4.13 1.4.14 6.1.102 6.1.101
subanta:guru:pum:8:3,guravaH,1.2.45 4.1.2 1.3.4 1.3.7 1.3.9 1.4.7 2.3.48 1.1.43 1.4.7 2.3.48 1.1.43 1.4.13 1.4.14 7.3.109 6.1.78 8.2.66 1.3.2 8.3.15 8.4.68
subanta:sarva:pum:1:1,sarvaH,1.2.45 4.1.2 1.3.2 1.3.9 1.1.27 1.1.43 1.1.27 1.1.43 1.4.13 1.4.14 8.2.66 1.3.2 8.3.15 8.3.111 8.4.68
subanta:sarva:pum:1:2,sarvO,1.2.45 4.1.2 1.1.27 1.1.43 1.1.27 1.1.43 1.4.13 1.4.14 6.1.104 6.1.88 8.3.111 8.4.68
subanta:sarva:pum:1:3,sarve,1.2.45 4.1.2 1.3.4 1.3.7 1.3.9 1.1.27 1.1.43 1.1.27 1.1.43 1.4.13 7.1.17 1.3.8 1.3.9 1.4.14 6.1.104 6.1.87 8.3.111 8.4.68
subanta:sarva:pum:2:1,sarvam,1.2.45 4.1.2 1.3.4 1.1.27 1.1.43 1.1.27 1.1.43 1.4.13 1.4.14 6.1.107 8.3.111 8.4.68
subanta:sarva:pum:2:2,sarvO,1.2.45 4.1.2 1.3.3 1.3.9 1.1.27 1.1.43 1.1.27 1.1.43 1.4.13 1.4.14 6.1.104 6.1.88 8.3.111 8.4.68
subanta:sarva:pum:2:3,sarvAn,1.2.45 4.1.2 1.3.4 1.3.8 1.3.9 1.1.27 1.1.27 1.4.13 1.4.18 1.4.14 6.1.102 6.1.103 6.1.101 8.3.111 8.4.37 8.4.68
subanta:sarva:pum:3:1,sarveRa,1.2.45 4.1.2 1.3.7 1.3.9 1.1.27 1.1.27 1.4.13 7.1.12 1.4.18 1.4.14 6.1.87 8.3.111 8.4.2 8.4.68
subanta:sarva:pum:3:2,sarvAByAm,1.2.45 4.1.2 1.3.4 1.1.27 1.1.27 1.4.13 1.4.17 1.4.14 7.3.102 8.3.111 8.4.68
subanta:sarva:pum:3:3,sarvEH,1.2.45 4.1.2 1.3.4 1.1.27 1.1.27 1.4.13 7.1.9 1.4.18 1.4.14 6.1.88 8.2.66 1.3.2 8.3.15 8.3.111 8.4.68
subanta:sarva:pum:4:1,sarvasmE,1.2.45 4.1.2 1.3.8 1.3.9 1.1.27 1.1.27 1.4.13 7.1.14 1.4.17 1.4.14 8.3.111 8.4.68
subanta:sarva:pum:4:2,sarvAByAm,1.2.45 4.1.2 1.3.4 1.1.27 1.1.27 1.4.13 1.4.17 1.4.14 7.3.102 8.3.111 8.4.68
subanta:sarva:pum:4:3,sarveByaH,1.2.45 4.1.2 1.3.4 1.1.27 1.1.27 1.4.13 1.4.17 1.4.14 7.3.103 8.2.66 1.3.2 8.3.15 8.3.111 8.4.68
subanta:sarva:pum:5:1,sarvasmAd|sarvasmAt,1.2.45 4.1.2 1.3.2 1.3.8 1.3.9 1.1.27 1.1.27 1.4.13 7.1.15 1.4.17 1.4.14 8.2.39 8.3.111 8.4.56 8.4.68
subanta:sarva:pum:5:2,sarvAByAm,1.2.45 4.1.2 1.3.4 1.1.27 1.1.27 1.4.13 1.4.17 1.4.14 7.3.102 8.3.111 8.4.68
subanta:sarva:pum:5:3,sarveByaH,1.2.45 4.1.2 1.3.4 1.1.27 1.1.27 1.4.13 1.4.17 1.4.14 7.3.103 8.2.66 1.3.2 8.3.15 8.3.111 8.4.68
subanta:sarva:pum:6:1,sarvasya,1.2.45 4.1.2 1.3.4 1.3.8 1.3.9 1.1.27 1.1.27 1.4.13 7.1.12 1.4.17 1.4.14 8.3.111 8.4.68
subanta:sarva:pum:6:2,sarvayoH,1.2.45 4.1.2 1.3.4 1.1.27 1.1.27 1.4.13 1.4.18 1.4.14 7.3.104 6.1.78 8.2.66 1.3.2 8.3.15 8.3.111 8.4.68
subanta:sarva:pum:6:3,sarvezAm,1.2.45 4.1.2 1.3.4 1.1.27 1.1.27 7.1.52 1.3.2 1.3.3 1.3.9 1.4.13 1.4.17 1.4.14 7.3.103 8.3.59 8.3.111 8.4.68
subanta:sarva:pum:7:1,sarvasmin,1.2.45 4.1.2 1.3.8 1.3.9 1.1.27 1.1.27 1.4.13 7.1.15 1.4.17 1.4.14 8.3.111 8.4.68
subanta:sarva:pum:7:2,sarvayoH,1.2.45 4.1.2 1.3.4 1.1.27 1.1.27 1.4.13 1.4.18 1.4.14 7.3.104 6.1.78 8.2.66 1.3.2 8.3.15 8.3.111 8.4.68
subanta:sarva:pum:7:3,sarvezu,1.2.45 4.1.2 1.3.3 1.3.9 1.1.27 1.1.27 1.4.13 1.4.17 1.4.14 7.3.103 8.3.59 8.3.111 8.4.68
subanta:sarva:pum:8:1,sarva,1.2.45 4.1.2 1.3.2 1.3.9 1.1.27 2.3.48 2.3.49 1.1.43 1.1.27 2.3.48 2.3.49 1.1.43 1.4.13 1.4.14 6.1.69 8.3.111 8.4.68
subanta:sarva:pum:8:2,sarvO,1.2.45 4.1.2 1.1.27 2.3.48 1.1.43 1.1.27 2.3.48 1.1.43 1.4.13 1.4.14 6.1.104 6.1.88 8.3.111 8.4.68
subanta:sarva:pum:8:3,sarve,1.2.45 4.1.2 1.3.4 1.3.7 1.3.9 1.1.27 2.3.48 1.1.43 1.1.27 2.3.48 1.1.43 1.4.13 7.1.17 1.3.8 1.3.9 1.4.14 6.1.104 6.1.87 8.3.111 8.4.68
subanta:anya:pum:1:1,anyaH,1.2.45 4.1.2 1.3.2 1.3.9 1.1.27 1.1.43 1.1.27 1.1.43 1.4.13 1.4.14 8.2.66 1.3.2 8.3.15 8.4.68
subanta:anya:pum:1:2,anyO,1.2.45 4.1.2 1.1.27 1.1.43 1.1.27 1.1.43 1.4.13 1.4.14 6.1.104 6.1.88 8.4.68
subanta:anya:pum:1:3,anye,1.2.45 4.1.2 1.3.4 1.3.7 1.3.9 1.1.27 1.1.43 1.1.27 1.1.43 1.4.13 7.1.17 1.3.8 1.3.9 1.4.14 6.1.104 6.1.87 8.4.68
subanta:anya:pum:2:1,anyam,1.2.45 4.1.2 1.3.4 1.1.27 1.1.43 1.1.27 1.1.43 1.4.13 1.4.14 6.1.107 8.4.68
subanta:anya:pum:2:2,anyO,1.2.45 4.1.2 1.3.3 1.3.9 1.1.27 1.1.43 1.1.27 1.1.43 1.4.13 1.4.14 6.1.104 6.1.88 8.4.68
subanta:anya:pum:2:3,anyAn,1.2.45 4.1.2 1.3.4 1.3.8 1.3.9 1.1.27 1.1.27 1.4.13 1.4.18 1.4.14 6.1.102 6.1.103 6.1.101 8.4.68
subanta:anya:pum:3:1,anyena,1.2.45 4.1.2 1.3.7 1.3.9 1.1.27 1.1.27 1.4.13 7.1.12 1.4.18 1.4.14 6.1.87 8.4.68
subanta:anya:pum:3:2,anyAByAm,1.2.45 4.1.2 1.3.4 1.1.27 1.1.27 1.4.13 1.4.17 1.4.14 7.3.102 8.4.68
subanta:anya:pum:3:3,anyEH,1.2.45 4.1.2 1.3.4 1.1.27 1.1.27 1.4.13 7.1.9 1.4.18 1.4.14 6.1.88 8.2.66 1.3.2 8.3.15 8.4.68
subanta:anya:pum:4:1,anyasmE,1.2.45 4.1.2 1.3.8 1.3.9 1.1.27 1.1.27 1.4.13 7.1.14 1.4.17 1.4.14 8.4.68
subanta:anya:pum:4:2,anyAByAm,1.2.45 4.1.2 1.3.4 1.1.27 1.1.27 1.4.13 1.4.17 1.4.14 7.3.102 8.4.68
subanta:anya:pum:4:3,anyeByaH,1.2.45 4.1.2 1.3.4 1.1.27 1.1.27 1.4.13 1.4.17 1.4.14 7.3.103 8.2.66 1.3.2 8.3.15 8.4.68
subanta:anya:pum:5:1,anyasmAd|anyasmAt,1.2.45 4.1.2 1.3.2 1.3.8 1.3.9 1.1.27 1.1.27 1.4.13 7.1.15 1.4.17 1.4.14 8.2.39 8.4.56 8.4.68
subanta:anya:pum:5:2,anyAByAm,1.2.45 4.1.2 1.3.4 1.1.27 1.1.27 1.4.13 1.4.17 1.4.14 7.3.102 8.4.68
